library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib1,SortSeq_bin1,SortSeq,1,,200908,1440000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib1_RBDbin1_S73_R1_001.fastq.gz
lib1,SortSeq_bin2,SortSeq,2,,200908,2625000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib1_RBDbin2_S74_R1_001.fastq.gz
lib1,SortSeq_bin3,SortSeq,3,,200908,2370000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib1_RBDbin3_S75_R1_001.fastq.gz
lib1,SortSeq_bin4,SortSeq,4,,200908,2047000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib1_RBDbin4_S76_R1_001.fastq.gz
lib2,SortSeq_bin1,SortSeq,1,,200908,1430000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib2_RBDbin1_S77_R1_001.fastq.gz
lib2,SortSeq_bin2,SortSeq,2,,200908,2450000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib2_RBDbin2_S78_R1_001.fastq.gz
lib2,SortSeq_bin3,SortSeq,3,,200908,1710000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib2_RBDbin3_S79_R1_001.fastq.gz
lib2,SortSeq_bin4,SortSeq,4,,200908,2369000,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200908_lib2_RBDbin4_S80_R1_001.fastq.gz
lib1,huACE2_01_bin1,huACE2,1,1,200911,2129875,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s01-b1_S1_R1_001.fastq.gz
lib1,huACE2_01_bin2,huACE2,2,1,200911,352153,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s01-b2_S2_R1_001.fastq.gz
lib1,huACE2_01_bin3,huACE2,3,1,200911,423237,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s01-b3_S3_R1_001.fastq.gz
lib1,huACE2_01_bin4,huACE2,4,1,200911,3696270,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s01-b4_S4_R1_001.fastq.gz
lib1,huACE2_02_bin1,huACE2,1,2,200911,2435118,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s02-b1_S5_R1_001.fastq.gz
lib1,huACE2_02_bin2,huACE2,2,2,200911,497644,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s02-b2_S6_R1_001.fastq.gz
lib1,huACE2_02_bin3,huACE2,3,2,200911,696418,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s02-b3_S7_R1_001.fastq.gz
lib1,huACE2_02_bin4,huACE2,4,2,200911,3767597,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s02-b4_S8_R1_001.fastq.gz
lib1,huACE2_03_bin1,huACE2,1,3,200911,2518115,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s03-b1_S9_R1_001.fastq.gz
lib1,huACE2_03_bin2,huACE2,2,3,200911,250794,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s03-b2_S10_R1_001.fastq.gz
lib1,huACE2_03_bin3,huACE2,3,3,200911,610083,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s03-b3_S11_R1_001.fastq.gz
lib1,huACE2_03_bin4,huACE2,4,3,200911,3408833,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s03-b4_S12_R1_001.fastq.gz
lib1,huACE2_04_bin1,huACE2,1,4,200911,3279356,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s04-b1_S13_R1_001.fastq.gz
lib1,huACE2_04_bin2,huACE2,2,4,200911,524075,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s04-b2_S14_R1_001.fastq.gz
lib1,huACE2_04_bin3,huACE2,3,4,200911,1107706,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s04-b3_S15_R1_001.fastq.gz
lib1,huACE2_04_bin4,huACE2,4,4,200911,2119232,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s04-b4_S16_R1_001.fastq.gz
lib1,huACE2_05_bin1,huACE2,1,5,200911,3758443,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s05-b1_S17_R1_001.fastq.gz
lib1,huACE2_05_bin2,huACE2,2,5,200911,818255,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s05-b2_S18_R1_001.fastq.gz
